source_id,title,authority,source_type,official_url,local_file_name,publication_date,effective_date,downloaded_at,last_verified_at,checksum,status
SRC-MCA-001,"Companies Act, 2013 - Section 7: Incorporation of Company","Ministry of Corporate Affairs (MCA), Government of India",Act,https://www.mca.gov.in/content/mca/global/en/acts-rules/companies-act/companies-act-2013.html,data/sources/mca/company/mca_companies_act_2013_sec7.txt,2013-08-30,2014-04-01,2026-09-13,2026-09-13,a3f402c3531fa8db2738ecc53f3c0335d6156f1d07e0007c4230a752f032fab4,active
SRC-MCA-002,"Companies (Incorporation) Rules, 2014 & SPICe+ Amendments","Ministry of Corporate Affairs (MCA), Government of India",Rules & Statutory Notification,https://www.mca.gov.in/content/mca/global/en/acts-rules/companies-act/rules.html,data/sources/mca/company/mca_companies_incorporation_rules_2014.txt,2014-03-31,2020-02-23,2026-09-13,2026-09-13,8ea4882946b5aaec75027e5bf915e0cfb63d36220c8d9c61e1a0e94972b2b6a3,active
SRC-MCA-003,"SPICe+ (INC-32) Part A and Part B Instruction Kit & User Guide","Ministry of Corporate Affairs (MCA), Government of India",Instruction Kit,https://www.mca.gov.in/content/mca/global/en/services/company-services/incorporation-services.html,data/sources/mca/company/mca_spice_plus_instruction_kit.txt,2020-02-23,2020-02-23,2026-09-13,2026-09-13,59bd328f4bd77c27f50b1411620c0d34f9cb5bac06e6f73be72d769a9d27a221,active
SRC-MCA-004,"e-MoA (INC-33) and e-AoA (INC-34) E-Form Specifications and Linking Rules","Ministry of Corporate Affairs (MCA), Government of India",Instruction Kit,https://www.mca.gov.in/content/mca/global/en/services/company-services/e-moa-e-aoa-guidelines.html,data/sources/mca/company/mca_emoa_eaoa_instruction_kit.txt,2020-02-23,2020-02-23,2026-09-13,2026-09-13,f21719c187d8457e59d93a8c30df41a2916f6455452db71de7d986a2a8bc3f7a,active
SRC-MCA-005,"AGILE-PRO-S (INC-35) Application Guide for GSTIN, EPFO, ESIC, Bank Account & Professional Tax","Ministry of Corporate Affairs (MCA), Government of India",Instruction Kit,https://www.mca.gov.in/content/mca/global/en/services/company-services/agile-pro-s-guidelines.html,data/sources/mca/company/mca_agile_pro_s_instruction_kit.txt,2021-06-07,2021-06-07,2026-09-13,2026-09-13,91ee5f8ac43c63790866747bf89a2bc49767791684de494b7ad886521e84a954,active
SRC-MCA-006,"Frequently Asked Questions (FAQs) on SPICe+ and Company Incorporation","Ministry of Corporate Affairs (MCA), Government of India",FAQ,https://www.mca.gov.in/content/mca/global/en/help/faqs/company-incorporation-faqs.html,data/sources/mca/company/mca_company_incorporation_faqs.txt,2022-01-15,2022-01-15,2026-09-13,2026-09-13,3826352c84dc94c80f690bd2893dea5fd4b6c57e4fa9e9497f6c5e6e3532ae5e,active
SRC-MCA-007,"Limited Liability Partnership Act, 2008 - Incorporation & Partners","Ministry of Corporate Affairs (MCA), Government of India",Act,https://www.mca.gov.in/content/mca/global/en/acts-rules/llp-act/llp-act-2008.html,data/sources/mca/llp/mca_llp_act_2008.txt,2009-01-07,2009-03-31,2026-09-13,2026-09-13,0c73dccaa39433ca2a7560314ada6dc8c0087379cbdd7e129829ef511ab34a5b,active
SRC-MCA-008,"Limited Liability Partnership Rules, 2009 & FiLLiP Amendment Rules","Ministry of Corporate Affairs (MCA), Government of India",Rules & Statutory Notification,https://www.mca.gov.in/content/mca/global/en/acts-rules/llp-act/rules.html,data/sources/mca/llp/mca_llp_rules_2009.txt,2009-04-01,2022-04-01,2026-09-13,2026-09-13,b92c2579bbf2b165d4812fcbd6bbabeb36b8470a84f04c7940c8cb470bd79c5d,active
SRC-MCA-009,"RUN-LLP & Form FiLLiP Instruction Kit for LLP Incorporation and Form 3 Rules","Ministry of Corporate Affairs (MCA), Government of India",Instruction Kit,https://www.mca.gov.in/content/mca/global/en/services/llp-services/fillip-instruction-kit.html,data/sources/mca/llp/mca_fillip_instruction_kit.txt,2022-04-01,2022-04-01,2026-09-13,2026-09-13,e24054b7f86832bde62e3bfce6224235a98916618eadb12c5acb77c514301511,active
SRC-DPIIT-010,"DPIIT Recognition Eligibility and Online Application Guidelines for Startups","Department for Promotion of Industry and Internal Trade (DPIIT), Ministry of Commerce & Industry",Government Notification & Guidelines,https://www.startupindia.gov.in/content/sih/en/startup-scheme.html,data/sources/startup_india/dpiit_startup_recognition_guidelines.txt,2019-02-19,2019-02-19,2026-09-13,2026-09-13,79cada5e81c76c9a81ac959e77735c3fb19e09cfd257f7e88b6100e88ce8e4f9,active
